gene	Total_value	TRAP_value	log2_fold_change	p_value
Ykt6	44,7515	78,1476	0.804266	0,0001
128up	22,9489	40,0502	0.803385	0,0008
Trs23	37,6512	65,6181	0.801398	0,00145
CG5220	21,2718	37,0694	0.801284	0,00265
CG5439	17,2741	30,0855	0.800452	0,0003
Ucrh	232,253	404,333	0.799848	0,00055
sec13	35,2841	61,3878	0.798936	0,00025
CG17765	68,8716	119,817	0.798851	0,0002
CG3184	15,7349	27,374	0.798841	0,0043
KLHL18	11,1417	19,3605	0.79715	0,0017
fidipidine	9,85849	17,1272	0.796853	0,00315
lwr	59,1947	102,811	0.796461	0,0002
Syx6	58,1509	100,925	0.795406	0,0002
Cyp12e1	10,7329	18,6189	0.794737	0,00475
CG12859	278,791	483,102	0.793145	0,00035
tsr	200,444	347,324	0.793083	0,0006
skpA	170,225	294,804	0.792314	0,00005
Vps20	67,5333	116,86	0.791114	0,0003
CG5934	40,5363	70,1346	0.790914	0,0014
CG4365	70,4413	121,872	0.790878	0,00005
CG3071	7,48977	12,9562	0.790649	0,00825
CG14407	123,7	213,897	0.790066	0,0001
Cog7	7,27743	12,5774	0.789333	0,0041
CG3560	946,502	1634,82	0.788456	0,00015
SdhC	329,416	568,218	0.786534	0,00015
CG32250	54,0982	93,2457	0.785457	0,00015
CG31109	31,955	55,0229	0.783988	0,00215
betaTub56D	413,389	711,16	0.782675	0,00025
CG5021	25,3565	43,5998	0.781968	0,00115
CG8617	35,1712	60,4679	0.781775	0,0004
CG9099	47,8364	82,1887	0.78083	0,00495
CG14232	28,2051	48,4336	0.780052	0,00035
CG5676	55,4995	95,3016	0.780027	0,0048
CG7382	48,2901	82,7971	0.777853	0,0011
CG18262	8,18843	14,024	0.77624	0,01275
Ravus	11,297	19,3292	0.77484	0,01175
Rabex-5	6,82468	11,6765	0.77477	0,0049
CG7712	286,452	490,077	0.774718	0,00015
UbcD10	108,957	186,386	0.774541	0,0009
CG3621	292,783	500,357	0.773128	0,00015
EfTuM	57,7389	98,6478	0.772743	0,0003
Oscp	741,917	1264,9	0.769698	0,00005
levy	1314,98	2241,2	0.769226	0,00045
La	36,4749	62,166	0.76922	0,00015
Prosbeta2	57,3721	97,7711	0.769059	0,0005
Spase25	34,4369	58,6715	0.768705	0,00235
cl	123,86	210,885	0.767743	0,00255
CG5844	18,8126	32,0281	0.767642	0,00225
CG7420	12,4089	21,0784	0.764388	0,00515
CG11590	32,2701	54,7034	0.761431	0,0059
CG9603	1647,51	2790,51	0.760243	0,0002
CG5793	99,5892	168,615	0.759675	0,0004
CG2701	34,8283	58,9397	0.758981	0,0004
CG3781	27,4651	46,44	0.757767	0,0068
CG3446	379,624	641,244	0.756301	0,00025
Las	32,5205	54,8806	0.754946	0,00075
CG14945	20,9342	35,3057	0.754036	0,00295
rux	13,3354	22,481	0.753446	0,0072
grau	19,5655	32,9813	0.753336	0,0009
CG14818	258,647	435,732	0.752454	0,0018
CG9147	22,2149	37,4173	0.752175	0,00195
CG30373	61,0892	102,85	0.751552	0,0019
Cyp9f2	49,5692	83,4311	0.751142	0,0003
Sucb	13,5322	22,7731	0.750937	0,0054
CG14806	77,193	129,712	0.74877	0,00345
CG3065	29,8167	50,0928	0.748483	0,0004
elgi	9,79304	16,4495	0.748216	0,00955
mbo	5,41341	9,08085	0.746289	0,0123
angel	17,5873	29,4858	0.745482	0,0089
Snx16	11,0588	18,5369	0.745201	0,00875
mRpL28	76,9463	128,93	0.74466	0,0002
CG1358	36,7518	61,522	0.743287	0,0006
CG4829	13,2095	22,1046	0.742769	0,0013
Mfap1	13,2811	22,2197	0.742466	0,00565
CG32230	1005,8	1680,37	0.740441	0,0004
CG5446	77,9999	130,198	0.739164	0,00035
Rpn5	31,0751	51,8491	0.738562	0,0005
CG7394	61,4295	102,477	0.738297	0,0027
CG30392	17,4636	29,1026	0.736792	0,00615
Chi	31,3538	52,2438	0.736618	0,0005
CG5515	26,2433	43,6957	0.735542	0,01115
rho-7	40,8147	67,9291	0.73494	0,0007
Gapdh1	835,563	1389,94	0.734204	0,0008
CG1648	264,888	439,966	0.73201	0,00025
CG5734	46,3317	76,9103	0.731175	0,0002
CG7048	83,6895	138,917	0.731105	0,00075
CoVa	1279,25	2123,34	0.731038	0,002
Vps36	14,3719	23,8507	0.73078	0,007
CG1983	35,8994	59,5452	0.730026	0,00135
Sry-delta	13,3303	22,1068	0.729783	0,00585
CG10157	42,9086	70,9884	0.726317	0,00275
Gfat2	23,2046	38,383	0.726058	0,0005
CG12082	10,9543	18,112	0.725452	0,0018
Cyp12a4	40,9999	67,7604	0.724822	0,0006
CG14641	15,2598	25,2072	0.724095	0,0032
CG7277	33,6968	55,6241	0.723101	0,00775
CG3420	41,5456	68,5425	0.722304	0,00415
FK506-bp2	427,636	705,46	0.72218	0,0002
CG5903	463,807	764,845	0.721642	0,00055
CSN7	56,6216	93,3613	0.721473	0,0005
mRpL19	17,2524	28,4468	0.72147	0,01095
CG9140	166,603	274,056	0.718056	0,00065
CG17712	14,053	23,0886	0.716303	0,00595
CG30415	1281,47	2103,99	0.715325	0,00075
Adk1	78,6869	129,001	0.713188	0,0007
CG6512	34,1217	55,9076	0.712356	0,00035
CG13601	20,0311	32,817	0.712198	0,0114
CG7943	37,7911	61,9068	0.71205	0,00115
mRpS29	27,2301	44,5391	0.709867	0,00155
CG9921	47,1166	76,9991	0.708604	0,002
CG12162	58,1131	94,9388	0.708135	0,0027
pic	12,924	21,1134	0.708106	0,001
mtm	15,5345	25,3422	0.706071	0,0024
Noa36	29,2868	47,7595	0.705536	0,0029
CG17746	20,6922	33,732	0.705033	0,00305
CG13319	46,2087	75,3009	0.704501	0,0038
Set	26,2821	42,8158	0.70406	0,00205
MBD-like	31,372	51,0596	0.702704	0,0046
ERR	28,3909	46,1857	0.702018	0,004
mRpL4	29,6184	48,1645	0.701477	0,0092
CG12239	40,9347	66,5091	0.700225	0,00105
Rpn1	18,1017	29,3948	0.699437	0,00095
CG30152	65,4764	106,255	0.69849	0,001
CG5989	34,0512	55,2251	0.697617	0,0009
CG10075	36,32	58,9015	0.697541	0,008
l(2)37Bb	23,5069	38,0509	0.694846	0,0043
CG5555	21,4518	34,7095	0.694233	0,0017
CG13890	20,0698	32,4721	0.694175	0,0059
Sbp2	37,2994	60,3439	0.694056	0,00195
Pdp	36,6679	59,2317	0.691851	0,0004
CG5641	32,2433	52,0695	0.691439	0,00175
Opbp	15,0913	24,3467	0.690008	0,0039
PGRP-LE	20,7006	33,3725	0.688989	0,00405
CG5412	37,4919	60,3966	0.687891	0,0104
mRpS28	61,2789	98,6945	0.687579	0,00405
CG1970	105,465	169,856	0.687546	0,0007
ND42	187,31	301,425	0.686367	0,00065
CG12203	177,071	284,495	0.684071	0,00265
Hsp60	156,847	251,86	0.683268	0,0008
CG3294	17,2737	27,7309	0.682916	0,0047
Klp64D	11,3166	18,1444	0.681088	0,0073
Aats-thr	26,4107	42,3446	0.681057	0,00105
CG12170	43,8384	70,1904	0.679078	0,00095
Vps25	117,826	188,642	0.678994	0,0011
key	37,6635	60,2605	0.678045	0,0066
CSN5	22,0979	35,3144	0.676349	0,0063
sec3	10,3523	16,5404	0.676049	0,00335
CG2371	19,8697	31,7374	0.675612	0,0083
CG5355	16,4928	26,3019	0.673336	0,00215
Rpn3	24,877	39,6639	0.673015	0,00195
ebd1	20,9344	33,3608	0.672279	0,0014
Ciao1	24,7974	39,5083	0.671969	0,00585
mRpL38	29,2798	46,6355	0.671523	0,00265
CG3040	22,2586	35,4387	0.670964	0,00895
CG18292	21,7415	34,6114	0.670795	0,0021
RFeSP	563,847	897,403	0.670452	0,0008
Egm	13,7979	21,9527	0.669955	0,0047
CG2063	22,2592	35,3607	0.667746	0,00605
Sgt	64,206	101,716	0.663765	0,00615
CG40042	141,308	223,754	0.663077	0,0012
CG7580	928,09	1469,13	0.66263	0,0012
Pdsw	210,205	332,579	0.661901	0,00115
CG12512	8,54135	13,5116	0.661666	0,01255
I-2	43,8676	69,3913	0.661598	0,00105
Pcmt	108,38	171,161	0.659252	0,00125
CG8417	64,0652	100,984	0.656509	0,00145
l(2)35Di	263,255	414,921	0.656377	0,0016
ATPsyn-gamma	544,88	858,232	0.65543	0,0014
A16	38,1862	60,1307	0.655048	0,0024
Sgt1	47,1366	74,1408	0.65342	0,00185
Rs1	8,10662	12,7454	0.6528	0,0105
pex13	36,1474	56,5908	0.646674	0,00145
Phax	18,8007	29,4291	0.646459	0,00535
Gs1l	122,576	191,86	0.646379	0,00165
CG15602	23,735	37,1197	0.645172	0,00875
CHIP	22,3521	34,9414	0.644529	0,0054
CG9215	12,981	20,2372	0.640607	0,00835
tbce	15,2196	23,7034	0.639166	0,0041
Mob4	60,8976	94,7482	0.637713	0,0074
CG17337	27,7488	43,1637	0.637391	0,0035
mRpS21	96,4181	149,908	0.636699	0,0113
ref(2)P	91,5617	141,735	0.630385	0,00115
CG2862	250,947	387,828	0.628037	0,00275
His3.3A	245,62	379,506	0.627693	0,00135
CG17896	121,643	187,831	0.626782	0,00185
shrb	86,3868	133,355	0.626395	0,0018
CG7484	50,9394	78,5524	0.624872	0,0097
twf	21,0882	32,5048	0.624219	0,0121
CG3530	37,4878	57,7245	0.622764	0,0057
debcl	43,1159	66,3868	0.622675	0,00205
Updo	40,8261	62,8444	0.622294	0,00685
Rpt3	29,057	44,7017	0.621445	0,00355
CG12304	45,0462	69,0967	0.617212	0,00385
Ipk2	24,4113	37,432	0.616721	0,0084
alphaTub84B	1104,29	1690,5	0.614337	0,00695
CG31751	36,5609	55,9224	0.613124	0,00325
Pfk	73,9267	112,922	0.611162	0,00255
CG6463	180,867	276,242	0.611005	0,0024
CG34159	55,7023	85,0558	0.610674	0,0045
Srp9	71,7419	109,504	0.610096	0,005
CG16721	69,3745	105,846	0.60949	0,0024
CG1882	69,1153	105,293	0.607336	0,00315
CG15611	14,9903	22,7766	0.603523	0,01145
CG8931	20,4425	31,0103	0.601177	0,0104
l(3)01239	85,3876	129,389	0.599613	0,0039
ALiX	59,4388	89,9253	0.597323	0,0038
CG10672	64,9687	98,2314	0.596439	0,0092
CG6013	42,6625	64,3557	0.5931	0,0107
CG1707	88,778	133,859	0.592436	0,00445
CG8728	24,5631	36,9688	0.589816	0,0056
fsd	30,9784	46,4918	0.585712	0,01215
Bx42	29,3291	43,9924	0.584921	0,00445
Hdac3	30,4501	45,6619	0.584545	0,0059
Jwa	68,7188	102,971	0.583462	0,0048
Got2	351,305	526,369	0.583351	0,0048
ND23	381,821	571,968	0.583037	0,0031
U2af50	74,3269	111,273	0.582141	0,00385
prel	61,736	92,4011	0.581797	0,00445
CG18324	45,6447	68,2886	0.581198	0,00685
Rad23	66,5126	99,4976	0.581033	0,00455
CG12012	64,4581	96,2317	0.57815	0,00625
CG11208	16,1974	24,1779	0.577926	0,0117
Slh	18,367	27,3969	0.576898	0,00785
CG1427	55,9121	83,3815	0.576568	0,00465
CG13367	24,9301	37,1498	0.575467	0,0091
CG6729	9,19982	13,7075	0.57529	0,01285
Sec61gamma	85,8676	127,793	0.57362	0,00655
mRpS22	45,5717	67,6598	0.570162	0,00745
Tango14	50,3843	74,8039	0.57014	0,0055
CG11695	32,857	48,731	0.568641	0,0058
CG1907	53,2063	78,8883	0.568214	0,0061
CG5174	125,946	186,196	0.564017	0,00605
mtacp1	325,051	480,188	0.562935	0,00505
Srp54k	21,1918	31,2752	0.561514	0,00825
Vps4	50,951	75,1766	0.561174	0,00505
mRpS7	81,1437	119,629	0.560012	0,00805
Idgf3	24,7984	36,5092	0.558012	0,0103
CG11444	58,5596	86,1501	0.556948	0,006
Gadd34	156,216	229,413	0.554406	0,00585
SdhB	369,011	541,536	0.553391	0,0075
CG5500	103,147	151,28	0.552526	0,00735
Aats-val	11,1311	16,3153	0.551625	0,0109
Dsor1	21,4405	31,3771	0.549374	0,0124
CG5037	62,7106	91,615	0.546873	0,0073
CG42813	223,505	326,499	0.546774	0,0056
CG17002	21,1366	30,8496	0.545509	0,01315
Dip-C	28,3365	41,3436	0.545003	0,00875
sec23	59,0475	86,1281	0.544609	0,0066
CG10219	158,13	230,584	0.544182	0,0079
Prosalpha7	89,5571	130,46	0.542728	0,00665
Ras85D	29,9744	43,6201	0.541263	0,0094
CG2017	56,9155	82,8214	0.541181	0,00615
CG3321	1409,41	2049,46	0.540155	0,0093
CG8134	48,1831	70,0355	0.539558	0,009
CG1319	65,3992	95,0482	0.539387	0,01135
CG1275	56,8509	82,3851	0.5352	0,0091
Prosbeta7	70,1	101,512	0.534158	0,0076
CG5537	67,0788	96,7683	0.528678	0,0095
CG6707	38,9512	55,9462	0.522373	0,00935
beta'Cop	19,9647	28,6746	0.522319	0,0086
Aats-asn	38,1626	54,7522	0.520759	0,0096
CG7427	32,2065	46,1464	0.518865	0,0127
CG4287	70,4296	100,868	0.51821	0,00905
CG8258	38,6493	55,2865	0.516483	0,0104
Tim8	119,628	171,036	0.515741	0,01225
CG5168	57,426	81,9243	0.512588	0,01165
CG12384	214,702	304,191	0.502639	0,01305
Gtp-bp	31,6824	44,6944	0.496411	0,01305

